@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-V-R2-3,8,12,18,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute count numeric
@attribute rerror_rate numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
tcp,SF,1747,0,100,normal
tcp,SF,3372,0,100,normal
tcp,OTH,2671,0,52,normal
tcp,OTH,1495,0,69,normal
tcp,OTH,3291,0,44,normal
tcp,OTH,3153,0,56,normal
tcp,SF,2218,0,100,normal
tcp,OTH,2999,0,49,normal
tcp,SF,2386,0,100,normal
tcp,OTH,3159,0,57,normal
tcp,OTH,5058,0,42,normal
tcp,OTH,3525,0,48,normal
tcp,OTH,4960,0,38,normal
tcp,SF,3083,0,100,normal
tcp,OTH,2840,0,55,normal
tcp,SF,3178,0,87,normal
tcp,SF,1969,0,100,normal
tcp,OTH,5129,0,69,normal
tcp,OTH,3283,0,46,normal
tcp,SF,1512,0,100,normal
tcp,OTH,5246,0,72,normal
tcp,OTH,3287,0,34,normal
tcp,OTH,3905,0,80,normal
tcp,OTH,3849,0,45,normal
tcp,SF,1998,0,100,normal
tcp,OTH,2729,0,48,normal
tcp,OTH,4862,0,46,normal
tcp,OTH,2700,0,45,normal
tcp,SF,2211,0,100,normal
tcp,SF,5668,0,72,normal
